office_legalname,office_name,officepublickey,office_addressline1,office_city,office_state,office_zip,office_phone,region_name,office_website,companypublickey,company_legalname
Berkshire Hathaway Homeservices Warren Residential,Berkshire Hathaway HomeServices Warren - Back Bay,12964290,535 Boylston Street Top Floor,Boston,MA,2116,617-784-8961,,www.warrenre.com,3100552,Berkshire Hathaway HomeServices Warren Residential
Windermere Hulsey & Associates,Vacaville,9936174,"490 Merchant Street, Suite 101",Vacaville,CA,95688,707-744-8070,,,1234567,Windermere Solutions LLC
Windermere Mountain Valley Real Estate,Packwood,7925655,"13068 U.S. Highway 12,  P.O. Box 952",Packwood,WA,98361,360-049-4232,,www.packwood-realestate.com,1234567,Windermere Solutions LLC
Northeast,Northeast,14641203,7601 Two Notch Rd,Columbia,SC,29223,803-378-8145,,,3145525,Coldwell Banker Residential Brokerage NRT
Windermere Real Estate/CIR,Camano Country Club,8343156,1283 Elger Bay Rd,Camano Island,WA,98282,360-038-7341,,www.camanorealestate.com,1234567,Windermere Solutions LLC
Mashpee Commons,Mashpee Commons,15164313,24 Benefit Street,Mashpee,MA,2649,508-847-7814,,,2944330,Randall Family of Companies
Windermere Referrals LLC.,Windermere Referrals,12986004,5424 Sand Point Way NE,Seattle,WA,98105,206-652-7380,,,1234567,Windermere Solutions LLC
River North - CAF Sales,River North - CAF Sales,14349051,304 W Hubbard St,Chicago,IL,60654-4407,,,,3145525,Coldwell Banker Residential Brokerage NRT
Downtown,Downtown,15643008,1202 Kettner Blvd #103,San Diego,CA,92101,619-981-4436,,,3237049,Ascent Real Estate
Kensington,Kensington,15644982,4134 Adams Ave. Suite 105,San Diego,CA,92116,619-928-0153,,,3237049,Ascent Real Estate
La Jolla,La Jolla,15645969,7855 Fay Ave Suite 100,La Jolla,CA,92037,858-855-1960,,,3237049,Ascent Real Estate
Watson Realty Corp,Fort Caroline,10560945,5610 Fort Caroline Rd.,Jacksonville,FL,32277,904-474-4871,,,2018833,Watson Realty Corp Realtors
Willis Allen Real Estate,Downtown San Diego,10724787,360 Fifth  Ave ,San Diego,CA,92101,619-923-8806,Willis Allen Real Estate,,1621177,Willis Allen Real Estate
Windermere Realty Trust,Portland - Hollywood/NE Sandy,14877096,3902 NE Sandy Blvd.,Portland,OR,97232,503-341-6200,,,1234567,Windermere Solutions LLC
Windermere Property Management- Ellensburg,Property Management- Ellensburg,11492673,808 S. Main,Ellensburg,WA,98926,509-992-5570,,,1234567,Windermere Solutions LLC
NRT to NRT Referral,NRT to NRT Referral,15719007,1801 Reston Pkwy,Reston,VA,20190,,,,3145525,Coldwell Banker Residential Brokerage NRT
Port Washington,Port Washington,13997679,282 Main St,Port Washington,NY,11050,516-676-7929,,,3145525,Coldwell Banker Residential Brokerage NRT
Career  Development,Career  Development,14095392,3915 Market St,Camp Hill,PA,17011,717-761-2517,,,3145525,Coldwell Banker Residential Brokerage NRT
Baltimore Education,Baltimore Education,14125002,6031 University Blvd Ste 140,Columbia,MD,21043,,,,3145525,Coldwell Banker Residential Brokerage NRT
Broude Region,Broude Region,14366817,3 Parkway North Ste 400,Deerfield,IL,60015,847-731-3650,,,3145525,Coldwell Banker Residential Brokerage NRT
Tyler,Tyler,14508945,525 WSW LOOP 323,Tyler,TX,75701,903-358-1258,,,3145525,Coldwell Banker Residential Brokerage NRT
Whitehouse,Whitehouse,14509932,416 State Highway 110 N,Whitehouse,TX,75791,903-383-9087,,,3145525,Coldwell Banker Residential Brokerage NRT
EVP / COO,EVP / COO,14675748,175 Park Ave,Madison,NJ,7940,,,,3145525,Coldwell Banker Residential Brokerage NRT
Huntington,Huntington,12813279,2 Huntington Street,Huntington,CT,6484,203-392-9638,,https://www.raveis.com/office/CT/Huntington/13,3077671,William Raveis Real Estate
Ridgefield,Ridgefield,12833019,410 Main Street,Ridgefield,CT,6877,203-343-1885,,https://www.raveis.com/office/CT/Ridgefield/26,3077671,William Raveis Real Estate
CB Commercial Admin,CB Commercial Admin,15113976,175 Park Ave,Madison,NJ,07940-1123,,,,3145525,Coldwell Banker Residential Brokerage NRT
San Jose - Main,San Jose - Main,11740410,1045 Willow St,San Jose,CA,95125-2346,408-849-1160,,,3145525,Coldwell Banker Residential Brokerage NRT
Regional Operations and Training,Regional Operations and Training,14768526,1855 Gateway Blvd Ste 750,Concord,CA,94520-3290,,,,3145525,Coldwell Banker Residential Brokerage NRT
99 Tremont,99 Tremont,15140625,99 Tremont St,Boston,MA,02135-2416,,,,3145525,Coldwell Banker Residential Brokerage NRT
Marketing - Consumer Digital,Marketing - Consumer Digital,14709306,175 Park Ave,Madison,NJ,07940-1123,,,,3145525,Coldwell Banker Residential Brokerage NRT
Field IT Solution,Field IT Solution,14722137,175 Park Ave,Madison,NJ,07940-1123,,,,3145525,Coldwell Banker Residential Brokerage NRT
